product_name,price,rating,review_count,avg_sentiment,category,discount,brand,primary_platform,secondary_platform
"Best Sanitary Pads | Heavy-Flow Safe, Ultra-Thin & Rash free",239.0,0.0,0,0.368,home,0.0,Unknown,Instagram,Influencer Marketing
Buy Deyga Oat Milk Face Wash Online,430.0,0.0,0,0.459,skincare,0.0,Unknown,Instagram,Influencer Marketing
Buy Nourished Lips Combo Set Online,510.0,0.0,0,0.286,skincare,0.0,Unknown,Instagram,Influencer Marketing
Buy Anti Grey Hair Oil | Natural Formula to Slow Grey Hair,600.0,0.0,0,0.098,haircare,0.0,Unknown,Google Ads,Instagram
Buy Best Hair Strengthening Products Online,1199.0,0.0,0,0.586,skincare,0.0,Unknown,Google Ads,Instagram
"Vanilla Deodorant |Sweet Aroma, All-Day Freshness - Shop Now",399.0,0.0,0,0.186,generic,0.0,Unknown,Google Ads,Instagram
Tea Tree Toner Mini - 50 ml,299.0,4.76,174,0.14,skincare,0.0,Deyga,Instagram,Influencer Marketing
Shea Butter Lip Balm,240.0,4.79,70,0.303,skincare,0.0,Deyga,Instagram,Influencer Marketing
Charcoal Face Wash,430.0,4.76,275,0.174,skincare,0.0,Deyga,Instagram,Influencer Marketing
Daily Use Healthy Hair Combo,1099.0,4.74,2003,0.528,skincare,0.0,Deyga,Google Ads,Instagram
Vitamin C Foaming Facewash,440.0,4.78,312,0.26,skincare,0.0,Deyga,Instagram,Influencer Marketing
10% Vitamin C Face Serum,590.0,4.75,434,0.198,skincare,0.0,Deyga,Instagram,Influencer Marketing
Soft Lip Combo,519.0,4.82,95,0.283,skincare,0.0,Deyga,Instagram,Influencer Marketing
Charcoal Body Wash,490.0,5.0,52,0.635,generic,0.0,Deyga,Instagram,Influencer Marketing
Rose Deo,399.0,4.76,41,0.389,generic,0.0,Deyga,Instagram,Influencer Marketing
Foot Butter,399.0,4.81,950,0.359,generic,0.0,Deyga,Marketplace Ads,Instagram
Beautifying Serum,690.0,4.75,324,0.584,skincare,0.0,Deyga,Instagram,Influencer Marketing
Sunscreen SPF 50,650.0,4.9,594,0.496,skincare,0.0,Deyga,Instagram,Influencer Marketing
Soy Milk Conditioner - 50ml,230.0,4.84,493,0.27,haircare,0.0,Deyga,Instagram,Influencer Marketing
Intensive Anti Dandruff Shampoo Mini 50ml,199.0,3.0,1,0.115,haircare,0.0,Deyga,Google Ads,Instagram
Almond Milk Body Lotion,449.0,4.69,200,0.395,skincare,0.0,Deyga,Instagram,Influencer Marketing
Clear Skin Combo,649.0,4.79,543,0.789,haircare,0.0,Deyga,Instagram,Influencer Marketing
Loose Setting Powder,599.0,4.77,31,0.394,skincare,0.0,Deyga,Instagram,Influencer Marketing
Beetroot Lip Balm,350.0,4.76,2078,0.507,skincare,0.0,Deyga,Instagram,Influencer Marketing
Under Eye Cream,590.0,4.65,504,0.207,skincare,0.0,Deyga,Instagram,Influencer Marketing
Face & Body Exfoliator,450.0,4.75,257,0.419,generic,0.0,Deyga,Instagram,Influencer Marketing
Mustache and Beard Oil,590.0,4.72,18,0.418,haircare,0.0,Deyga,Instagram,Influencer Marketing
Baby Bath Bar,370.0,4.86,22,0.534,home,0.0,Deyga,Email,WhatsApp
Tangerine Cleansing Balm (Makeup Remover),590.0,4.59,69,0.362,skincare,0.0,Deyga,Instagram,Influencer Marketing
Hair Removal Powder,499.0,4.68,1422,0.349,skincare,0.0,Deyga,Instagram,Influencer Marketing
Rice Water Shampoo - 50 ml,199.0,4.8,1270,0.323,haircare,0.0,Deyga,Marketplace Ads,Instagram
Your connection needs to be verified before you can proceed,,0.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Your connection needs to be verified before you can proceed,,0.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Your connection needs to be verified before you can proceed,,0.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Your connection needs to be verified before you can proceed,,0.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Your connection needs to be verified before you can proceed,,0.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Your connection needs to be verified before you can proceed,,0.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Your connection needs to be verified before you can proceed,,0.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
De-Tan & Anti-Pigmentation Combo,749.0,4.78,227,0.157,generic,0.0,Deyga,Google Ads,Instagram
Baby Powder (Talc Free),600.0,5.0,14,0.218,skincare,0.0,Deyga,Instagram,Influencer Marketing
Hair Growth Oil,600.0,4.74,1192,0.333,skincare,0.0,Deyga,Instagram,Influencer Marketing
Foot Scrub,449.0,5.0,16,0.78,generic,0.0,Deyga,Instagram,Influencer Marketing
Beetroot Lip Balm - Classic,240.0,4.75,3247,0.19,skincare,0.0,Deyga,Instagram,Influencer Marketing
Neem Seed Oil,290.0,4.81,257,0.382,skincare,0.0,Deyga,Instagram,Influencer Marketing
Charcoal Face Wash Mini 50ml,250.0,5.0,2,0.966,skincare,0.0,Deyga,Instagram,Influencer Marketing
Acne Relief Combo,980.0,4.87,53,0.784,skincare,0.0,Deyga,Instagram,Influencer Marketing
HOCL Skin Relief Spray 150 ppm,359.0,4.78,42,0.076,generic,0.0,Minimalist,Google Ads,Instagram
Ceramide & Squalane Nourishing Lotion,809.0,4.8,5,0.353,home,0.0,Minimalist Pediatrics,Google Ads,Instagram
Retinal 0.1% Face Serum,719.0,4.8,98,0.371,skincare,0.0,Minimalist,Instagram,Influencer Marketing
Alpha Lipoic + Glycolic 7% Cleanser,359.0,4.86,51,0.0,skincare,0.0,Minimalist,Instagram,Influencer Marketing
Zinc Oxide + B5 Healing Ointment,359.0,4.37,8,0.319,generic,0.0,Minimalist Pediatrics,Instagram,Influencer Marketing
Dry Skincare Kit,1019.0,4.79,24,0.0,skincare,0.0,Minimalist,Google Ads,Instagram
Niacinamide 10% Face Serum,539.0,4.78,466,0.0,skincare,0.0,Minimalist,Instagram,Influencer Marketing
Glycolic + Tranexamic 11% Body Exfoliator,629.0,4.66,6,0.0,generic,0.0,Minimalist,Google Ads,Instagram
Salicylic Acid 2% Face Serum,494.0,4.78,445,0.0,skincare,0.0,Minimalist,Instagram,Influencer Marketing
Brightening & SPF Skincare Gift Set,1019.0,3.5,2,0.283,skincare,0.0,Minimalist,Google Ads,Instagram
Granactive Retinoid 2% Face Cream,629.0,4.77,27,0.0,skincare,0.0,Minimalist,Instagram,Influencer Marketing
Hair Repair Ritual Kit,449.0,4.65,20,0.265,skincare,0.0,Minimalist,Instagram,Influencer Marketing
Alpha Arbutin 2% Face Serum,494.0,4.78,213,0.0,skincare,0.0,Minimalist,Instagram,Influencer Marketing
Hair Growth Actives 18% Hair Serum,719.0,4.72,209,0.612,skincare,0.0,Minimalist,Instagram,Influencer Marketing
Vitamin B5 10% Moisturizer,314.0,4.81,503,0.0,skincare,0.0,Minimalist,Instagram,Influencer Marketing
Salicylic Acid + LHA 2% Cleanser,269.0,4.76,1121,0.0,skincare,0.0,Minimalist,Instagram,Influencer Marketing
Plum Bright Years All-Day Defence SPF 50 PA++++ Sunscreen,700.0,4.51,152,0.509,skincare,0.0,Plumgoodness,Instagram,Influencer Marketing
Bright Years Under-Eye Recovery Gel | Reduces Dark Circles | For All Skin Types,740.0,4.41,275,0.483,generic,0.0,Plumgoodness,Instagram,Influencer Marketing
Green Tea Alcohol Free Toner for Oily Skin with Glycolic Acid,336.0,4.66,2250,0.0,skincare,0.0,Unknown,Instagram,Influencer Marketing
Green Tea Revitalizing Face Mist,288.0,4.55,851,0.278,generic,0.0,Plumgoodness,Marketplace Ads,Instagram
Buy Plum Coconut Milk & Peptides Shampoo for Silky Hair | Plum Goodness,199.0,0.0,0,0.229,haircare,0.0,Unknown,Instagram,Influencer Marketing
Body Wash | Body Mist | Body Oil | Long-Lasting Warm Vanilla Fragrance,499.0,0.0,0,0.442,generic,0.0,Unknown,Instagram,Influencer Marketing
"The Only Diary That Spritzes Back Looks like a diary, fits in your pocket & smells like your every mood, bottled. And just like any secret-keeper, it's got pages to jot what you're feelin' (or manifestin'). Think nutty-sweet Parisian daydreams & fizzy fruit chaos, to caramel cravings & dark floral drama, this diary doesn't just hold secrets... it smells like 'em! 1. Plum Body Lovin' Oh So Pistachio Eau De Parfum Sweet, soft & a lil' nutty, with creamy pistachio & fresh florals. 2. Plum Body Lovin' Juice Or Dare Eau De Parfum Loud, juicy & full of the drama of strawberry fizz & bold red fruits. 3. Plum Body Lovin' Vanilla Caramello Eau De Parfum Cozy, sweet dessert-lovers' fave, with warm vanilla, caramel & a pistachio twist. 4. Plum Body Lovin' Moonkissed Drama Eau De Parfum Dark, dreamy & dipped in mystery with lush blackberries, soft florals & a touch of musk.",199.0,0.0,0,0.134,skincare,0.0,Unknown,Instagram,Influencer Marketing
Shop Plum Coconut & Squalane Nutri-Shine Hair Serum,199.0,0.0,0,0.0,skincare,0.0,Unknown,Instagram,Influencer Marketing
NaturStudio All-Day-Wear Kohl Kajal with FREE SHARPENER,374.0,4.5,2286,0.649,generic,0.0,Plumgoodness,Marketplace Ads,Instagram
Moonkissed Drama Eau De Parfum (Perfume) by Plum BodyLovin',674.0,4.15,144,0.0,generic,0.0,Unknown,Google Ads,Instagram
E-Luminence Deep Moisturizing Cream for Dry Skin,460.0,4.59,863,0.088,skincare,0.0,Plumgoodness,Instagram,Influencer Marketing
Bright Years Restorative Overnight Crème,900.0,4.45,201,0.44,skincare,0.0,Plumgoodness,Google Ads,Instagram
Green Tea Mattifying Moisturizer for Oily Skin,376.0,4.53,1119,0.0,skincare,0.0,Plumgoodness,Instagram,Influencer Marketing
"Glow, Clarify & Renew Face Serum Bundle",1086.0,4.32,25,0.105,home,0.0,Plumgoodness,Google Ads,Instagram
Chamomile & White Tea Calming Antioxidant Toner,312.0,4.53,237,0.402,skincare,0.0,Plumgoodness,Instagram,Influencer Marketing
Buy Best Hair Mask For Dry Hair Online,540.0,4.59,794,0.032,skincare,0.0,Unknown,Instagram,Influencer Marketing
"Bright Years Cell Renewal Serum | 100% Vegan, Cruelty Free",1260.0,4.57,162,0.009,skincare,0.0,Plumgoodness,Google Ads,Instagram
Buy Best Plum Green Tea Night Gel Online | Plum Goodness,460.0,4.63,3781,0.422,skincare,0.0,Unknown,Instagram,Influencer Marketing
Glow & Clarify Serum Combo,1086.0,4.38,128,0.0,home,0.0,Plumgoodness,Google Ads,Instagram
CeraSense™ Milky Toner with Ceramides & Peptides,439.0,4.58,102,0.0,skincare,0.0,Plum Goodness,Instagram,Influencer Marketing
CeraSense™ Repair & Restore Combo,786.0,3.9,10,0.197,skincare,0.0,Plum Goodness,Instagram,Influencer Marketing
CeraSense™ Moisturizer With Ceramides & Peptides for Soft Skin,399.0,4.21,180,0.167,skincare,0.0,Unknown,Instagram,Influencer Marketing
Lily Miss Sunshine Sunscreen Body Lotion SPF 35 PA+++ by Plum BodyLovin',318.0,4.43,373,0.385,skincare,0.0,Plum Goodness,Instagram,Influencer Marketing
Marshmallow Melt Body Lotion by Plum BodyLovin',371.0,4.33,353,0.0,skincare,0.0,Plum Goodness,Instagram,Influencer Marketing
"Shop Avacado Hair Mask for Frizzy Hair & Enjoy Nourished, Manageable Hair",540.0,4.53,671,0.0,skincare,0.0,Unknown,Instagram,Influencer Marketing
Best Vitamin C Serum for Face with Mandarin,632.0,4.54,5864,0.296,skincare,0.0,Unknown,Instagram,Influencer Marketing
"Best 1% Retinol Serums in India for Fresh, Youthful Skin!",632.0,4.4,444,0.0,skincare,0.0,Unknown,Instagram,Influencer Marketing
Cica & Hya-Betaine Vegan Mucin Face Essence With Azuki Bean Extracts & ATP,639.0,4.33,236,0.084,generic,0.0,Plum Goodness,Google Ads,Instagram
10% Niacinamide & Rice Water Serum for Brighter & Smoother Skin,679.0,4.46,4021,0.587,skincare,0.0,Unknown,Instagram,Influencer Marketing
Coconut & Peptides Hair Mask for Dry Hair,440.0,4.27,305,0.171,skincare,0.0,Plum Goodness,Instagram,Influencer Marketing
Soft Hair Must-Haves,1050.0,3.8,15,-0.114,haircare,0.0,Plum Goodness,Google Ads,Instagram
Vanilla Caramello Body Lotion Cream by BodyLovin',356.0,4.35,1689,0.095,skincare,0.0,Unknown,Instagram,Influencer Marketing
2% Encapsulated Salicylic Acid Anti-Acne Face Serum,479.0,4.45,331,0.147,skincare,0.0,Plum Goodness,Instagram,Influencer Marketing
2% Alpha Arbutin & Hyaluronic Acid Tan Fading Face Serum,479.0,4.44,263,0.0,skincare,0.0,Plum Goodness,Instagram,Influencer Marketing
Vanilla Caramello Bath & Body Gift Set by Plum BodyLovin',824.0,4.37,35,0.44,home,0.0,Plum Goodness,Google Ads,Instagram
Tulips Don't Lie Eau De Parfum (Perfume) by Plum BodyLovin',674.0,4.15,157,0.325,generic,0.0,Plum Goodness,Instagram,Influencer Marketing
Marshmallow & Caramel Duo by Plum BodyLovin',989.0,5.0,2,0.0,generic,0.0,Plum Goodness,Google Ads,Email
Long-Lasting Hawaiian Rumba Eau De Parfum (Perfume),199.0,0.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Vanilla Vibes Perfume with Creamy Vanilla and Unique Touch,599.0,4.22,301,0.186,skincare,0.0,Unknown,Instagram,Influencer Marketing
Vanilla and Caramel Perfume with Sweet and Cozy Fragrance,281.0,4.07,639,0.0,generic,0.0,Unknown,Marketplace Ads,Google Ads
"Vanilla Caramello Bath & Body Bundle by Plum BodyLovin' | Body Wash, Body Lotion, Perfume & Body Mist",1513.0,4.21,76,0.157,skincare,0.0,Plum Goodness,Google Ads,Instagram
Summer Essentials Duo by Plum BodyLovin,881.0,5.0,4,0.0,skincare,0.0,Plum Goodness,Google Ads,Instagram
Orchid-You-Not Eau De Parfum by Plum BodyLovin',243.0,4.31,204,0.0,generic,0.0,Plum Goodness,Google Ads,Instagram
Smell Like A Dessert Perfume Duo by Plum BodyLovin' | Vanilla Vibes Perfume & Vanilla Caramello Perfume,1222.0,4.38,39,0.414,generic,0.0,Plum Goodness,Google Ads,Instagram
Juice Or Dare Eau De Parfum (Perfume) by Plum BodyLovin',899.0,4.35,26,0.245,generic,0.0,Plum Goodness,Google Ads,Instagram
Saccharomyces Ferment 30% Milky Toner,16.8,0.0,0,0.296,home,0.0,The Ordinary,Instagram,Influencer Marketing
Sports and Games,44.84,5.0,0,0.0,generic,0.0,Unknown,Google Ads,Email
Short Stories,35.88,1.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Shakespeare's Sonnets,20.66,4.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2.0,0,-0.421,generic,0.0,Unknown,Google Ads,Instagram
It's Only the Himalayas,45.17,2.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Thriller,12.84,1.0,0,0.103,generic,0.0,Unknown,Google Ads,Instagram
Romance,25.27,5.0,0,0.557,generic,0.0,Unknown,Email,WhatsApp
Default,17.93,3.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Self Help,46.35,1.0,0,0.402,generic,0.0,Unknown,Instagram,Influencer Marketing
Libertarianism for Beginners,51.33,2.0,0,0.103,generic,0.0,Unknown,Google Ads,Instagram
Adult Fiction,15.36,5.0,0,0.0,books,0.0,Unknown,Email,Google Ads
Erotica,19.19,5.0,0,0.0,generic,0.0,Unknown,Google Ads,Email
Academic,13.12,2.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Classics,15.08,4.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Childrens,54.64,3.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Religion,37.97,2.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
The Black Maria,52.15,1.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Politics,51.33,2.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Womens Fiction,57.36,4.0,0,0.0,books,0.0,Unknown,Google Ads,Instagram
Sequential Art,52.29,5.0,0,0.0,generic,0.0,Unknown,Google Ads,Email
Spirituality,17.66,5.0,0,0.0,generic,0.0,Unknown,Google Ads,Email
Fiction,50.1,1.0,0,0.0,books,0.0,Unknown,Google Ads,Email
Travel,45.17,2.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Contemporary,31.77,1.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Business,33.34,4.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Nonfiction,40.3,5.0,0,0.0,books,0.0,Unknown,Email,Google Ads
Young Adult,22.65,1.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Humor,44.07,1.0,0,0.273,generic,0.0,Unknown,Instagram,Influencer Marketing
Science,42.96,4.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Art,44.18,4.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
New Adult,45.07,2.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Olio,23.88,1.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Cultural,36.58,1.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Paranormal,15.4,1.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Set Me Free,17.46,5.0,0,0.511,generic,0.0,Unknown,Email,WhatsApp
Health,49.05,3.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Food and Drink,30.52,3.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Science Fiction,37.59,1.0,0,0.0,books,0.0,Unknown,Google Ads,Email
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1.0,0,0.637,books,0.0,Unknown,Email,WhatsApp
Tipping the Velvet,53.74,1.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Crime,10.97,1.0,0,-0.542,generic,0.0,Unknown,Google Ads,Instagram
Sharp Objects,47.82,4.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Psychology,10.4,1.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Autobiography,10.93,2.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Poetry,51.77,3.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Add a comment,19.09,1.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Suspense,58.33,3.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Parenting,37.35,2.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Historical,29.87,5.0,0,0.0,generic,0.0,Unknown,Google Ads,Email
The Requiem Red,22.65,1.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Fantasy,18.78,3.0,0,0.0,generic,0.0,Unknown,Google Ads,Instagram
Christian,54.0,5.0,0,0.0,generic,0.0,Unknown,Google Ads,Email
Novels,54.81,5.0,0,0.0,books,0.0,Unknown,Email,Google Ads
History,54.23,5.0,0,0.0,generic,0.0,Unknown,Google Ads,Email
Buy 100% Organic Mint Lip Scrub Online,290.0,0.0,0,-0.421,skincare,0.0,Unknown,Instagram,Influencer Marketing
Natural Hair Color -100% Plant Based | Asia's First Hair Dye,749.0,0.0,0,0.329,haircare,0.0,Unknown,Instagram,Influencer Marketing
Buy Spirulina Matcha Face Pack for Acne Online,530.0,0.0,0,0.878,skincare,0.0,Unknown,Instagram,Influencer Marketing
Buy any 5 Minis @ ₹999,999.0,0.0,0,0.461,generic,0.0,Unknown,Google Ads,Instagram
Eyebrow Growth Oil | Regrow Thin Brows Naturally - Buy Now,599.0,0.0,0,0.385,haircare,0.0,Unknown,Instagram,Influencer Marketing
"Organic Baby Butter | Soft, Smooth & Safe for Newborns",550.0,0.0,0,0.788,generic,0.0,Unknown,Instagram,Influencer Marketing
Stretch Marks Cream | Reduce Marks & Tighten Skin - Buy Now,549.0,0.0,0,0.408,skincare,0.0,Unknown,Instagram,Influencer Marketing
Hair Strengthening Combo,1199.0,4.8,75,0.534,skincare,0.0,Deyga,Google Ads,Instagram
Oat Milk Face Wash,430.0,4.89,210,0.311,home,0.0,Deyga,Instagram,Influencer Marketing
"Vanilla Deodorant |Sweet Aroma, All-Day Freshness - Shop Now",399.0,0.0,0,0.186,generic,0.0,Unknown,Google Ads,Instagram
Soy Milk Conditioner | Frizz-Free Hair in 1 Wash | Buy Now,590.0,0.0,0,-0.165,haircare,0.0,Unknown,Google Ads,Instagram
Buy Anti Grey Hair Oil | Natural Formula to Slow Grey Hair,600.0,0.0,0,0.098,haircare,0.0,Unknown,Google Ads,Instagram
Hair Growth Oil Mini 50 ml,375.0,0.0,0,0.484,haircare,0.0,Unknown,Instagram,Influencer Marketing
"Best Sanitary Pads | Heavy-Flow Safe, Ultra-Thin & Rash free",239.0,0.0,0,0.368,home,0.0,Unknown,Instagram,Influencer Marketing
Buy Nourished Lips Combo Set Online,510.0,0.0,0,0.286,skincare,0.0,Unknown,Instagram,Influencer Marketing
Charcoal Body Wash,490.0,5.0,52,0.635,generic,0.0,Deyga,Instagram,Influencer Marketing
10% Vitamin C Face Serum,590.0,4.75,434,0.216,skincare,0.0,Deyga,Instagram,Influencer Marketing
Shea Butter Lip Balm,240.0,4.79,70,0.303,skincare,0.0,Deyga,Instagram,Influencer Marketing
Daily Use Healthy Hair Combo,1099.0,4.74,2003,0.528,skincare,0.0,Deyga,Google Ads,Instagram
Vitamin C Foaming Facewash,440.0,4.78,312,0.252,skincare,0.0,Deyga,Instagram,Influencer Marketing
Tea Tree Toner Mini - 50 ml,299.0,4.76,174,0.14,skincare,0.0,Deyga,Instagram,Influencer Marketing
Soft Lip Combo,519.0,4.82,95,0.283,skincare,0.0,Deyga,Instagram,Influencer Marketing
Charcoal Face Wash | Deep Detox & Oil Control - Shop Now,430.0,0.0,0,0.0,skincare,0.0,Unknown,Instagram,Influencer Marketing
Intensive Anti Dandruff Shampoo Mini 50ml,199.0,3.0,1,0.115,haircare,0.0,Deyga,Google Ads,Instagram
Clear Skin Combo,649.0,4.79,543,0.789,haircare,0.0,Deyga,Instagram,Influencer Marketing
Rose Deo,399.0,4.76,41,0.389,generic,0.0,Deyga,Instagram,Influencer Marketing
Sunscreen SPF 50,650.0,4.9,594,0.496,skincare,0.0,Deyga,Instagram,Influencer Marketing
Beautifying Serum,690.0,4.75,324,0.584,skincare,0.0,Deyga,Instagram,Influencer Marketing
Foot Butter,399.0,4.81,950,0.359,generic,0.0,Deyga,Marketplace Ads,Instagram
Almond Milk Body Lotion,449.0,4.69,200,0.395,skincare,0.0,Deyga,Instagram,Influencer Marketing
Soy Milk Conditioner - 50ml,230.0,0.0,0,0.164,haircare,0.0,Unknown,Google Ads,Instagram
Hair Removal Powder,499.0,4.68,1422,0.349,skincare,0.0,Deyga,Instagram,Influencer Marketing
Beetroot Lip Balm,350.0,4.76,2078,0.143,skincare,0.0,Deyga,Instagram,Influencer Marketing
Daily Essentials Combo,599.0,4.68,31,0.169,skincare,0.0,Deyga,Instagram,Influencer Marketing
Spirulina Matcha Face Pack Mini 20g,250.0,4.74,160,0.309,home,0.0,Deyga,Instagram,Influencer Marketing
Charcoal Bath Bar,370.0,4.77,1620,0.337,skincare,0.0,Deyga,Instagram,Influencer Marketing
Hair Nourishment combo,899.0,4.77,13,0.446,haircare,0.0,Deyga,Google Ads,Instagram
Intensive Scalp Repair Anti Dandruff Shampoo 220ml,550.0,4.66,280,0.175,haircare,0.0,Deyga,Google Ads,Instagram
Rice Water Shampoo - 50 ml,199.0,4.8,1270,0.323,haircare,0.0,Deyga,Marketplace Ads,Instagram
Double Hydration Combo,699.0,4.78,18,0.617,skincare,0.0,Deyga,Instagram,Influencer Marketing
Beetroot Lip Balm - Classic,240.0,4.75,3247,0.19,skincare,0.0,Deyga,Instagram,Influencer Marketing
Foot Scrub,449.0,5.0,16,0.78,generic,0.0,Deyga,Instagram,Influencer Marketing
Charcoal Face Wash Mini 50ml,250.0,5.0,2,0.966,skincare,0.0,Deyga,Instagram,Influencer Marketing
Neem Seed Oil,290.0,4.81,257,0.382,skincare,0.0,Deyga,Instagram,Influencer Marketing
Hair Growth Oil,600.0,4.74,1192,0.333,skincare,0.0,Deyga,Instagram,Influencer Marketing
De-Tan & Anti-Pigmentation Combo,749.0,4.78,227,0.157,generic,0.0,Deyga,Google Ads,Instagram
Acne Relief Combo,980.0,4.87,53,0.784,skincare,0.0,Deyga,Instagram,Influencer Marketing
Baby Powder (Talc Free),600.0,5.0,14,0.218,skincare,0.0,Deyga,Instagram,Influencer Marketing
Aloe Vera Gel,370.0,4.78,2364,0.424,skincare,0.0,Deyga,Instagram,Influencer Marketing
Hair Care Combo,1499.0,4.84,578,0.364,haircare,0.0,Deyga,Google Ads,Marketplace Ads
Anti Dandruff Oil,600.0,4.66,155,0.208,skincare,0.0,Deyga,Instagram,Influencer Marketing
Healthy Glow Combo,980.0,4.81,72,0.551,skincare,0.0,Deyga,Google Ads,Instagram
Orange & Almond Face Pack Mini 15g,250.0,5.0,4,0.0,home,0.0,Deyga,Google Ads,Email
Hair Care Combo (Minis),699.0,4.84,578,0.364,haircare,0.0,Deyga,Marketplace Ads,Instagram
Hydro Boosting Combo,879.0,4.88,66,0.425,skincare,0.0,Deyga,Google Ads,Instagram
Anti-Frizz Hair Serum,750.0,4.89,618,0.43,home,0.0,Unknown,Marketplace Ads,Instagram
Under Eye Cream (Dark Circles Control),560.0,4.89,822,0.496,home,0.0,Unknown,Marketplace Ads,Instagram
"Cucumber, Curd & Mint Soap",350.0,0.0,0,0.612,skincare,0.0,Vilvah Store,Instagram,Influencer Marketing
Shampoo & Hair Serum Combo,1239.0,0.0,0,0.071,skincare,0.0,Unknown,Google Ads,Instagram
Goat Milk Hair Mask,795.0,0.0,0,0.385,skincare,0.0,Vilvah Store,Instagram,Influencer Marketing
Skin Glow Combo,998.0,4.9,534,0.711,skincare,0.0,Unknown,Instagram,Influencer Marketing
Goat Milk Shampoo,545.0,4.89,1022,0.408,home,0.0,Unknown,Marketplace Ads,Instagram
Skin Brightening Combo,1049.0,4.96,453,0.444,skincare,0.0,Unknown,Google Ads,Instagram
40ml Milk Drops Brightening Serum,1249.0,4.92,2258,0.462,skincare,0.0,Unknown,Google Ads,Instagram
Tan Protection Combo,999.0,5.0,1,0.511,skincare,0.0,Vilvah Store,Google Ads,Instagram
Frizz Free Hair Combo,1899.0,4.97,65,0.46,haircare,0.0,Unknown,Google Ads,Instagram
Classic Rose Goatmilk Soap,450.0,4.85,68,0.452,generic,0.0,Vilvah Store,Instagram,Influencer Marketing
Tomato And Pink Clay Soap,350.0,4.78,152,0.516,generic,0.0,Vilvah Store,Instagram,Influencer Marketing
Skin Hydration Combo,1019.0,4.99,902,0.08,skincare,0.0,Unknown,Google Ads,Instagram
Deo Shot - Rose & Vanilla,290.0,4.72,113,0.664,home,0.0,Vilvah Store,Instagram,Influencer Marketing
Tinted Lip Balm Combo,699.0,4.99,302,0.726,skincare,0.0,Unknown,Instagram,Influencer Marketing
Goat Milk Body Wash,550.0,4.83,118,0.56,generic,0.0,Vilvah Store,Instagram,Influencer Marketing
Anti-Acne Combo,779.0,4.97,317,0.376,skincare,0.0,Unknown,Instagram,Influencer Marketing
Face Brightening Combo,999.0,4.95,829,0.513,skincare,0.0,Unknown,Google Ads,Instagram
Cream Conditioner 250ml,650.0,4.87,300,0.446,skincare,0.0,Vilvah Store,Instagram,Influencer Marketing
Milk Body Lotion,650.0,4.92,319,0.507,skincare,0.0,Vilvah Store,Instagram,Influencer Marketing
